
following error occured at Thu Mar 08 2018 13:29:30 GMT+0200 (שעון רגיל ירושלים) : "called by customerAPI.getDuplicateCustomer => called by customerController.getDuplicateCustomer => called by customerBL.getDuplicateCustomer => error in dal => Error: ER_BAD_FIELD_ERROR: Unknown column 'undefined' in 'field list'"
following error occured at Fri Mar 09 2018 04:23:39 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => called by storeBL.getStatistics => error in dal => Error: connect ECONNREFUSED 127.0.0.1:3306"
following error occured at Fri Mar 09 2018 04:23:39 GMT+0200 (Jerusalem Standard Time) : {"code":"ECONNREFUSED","errno":"ECONNREFUSED","syscall":"connect","address":"127.0.0.1","port":3306,"fatal":true}
following error occured at Fri Mar 09 2018 04:23:39 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 04:34:24 GMT+0200 (Jerusalem Standard Time) : {"code":"ECONNREFUSED","errno":"ECONNREFUSED","syscall":"connect","address":"127.0.0.1","port":3306,"fatal":true}
following error occured at Fri Mar 09 2018 04:34:24 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => called by storeBL.getStatistics => error in dal => Error: connect ECONNREFUSED 127.0.0.1:3306"
following error occured at Fri Mar 09 2018 04:34:24 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 04:34:41 GMT+0200 (Jerusalem Standard Time) : {"code":"ECONNREFUSED","errno":"ECONNREFUSED","syscall":"connect","address":"127.0.0.1","port":3306,"fatal":true}
following error occured at Fri Mar 09 2018 04:34:41 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => called by storeBL.getStatistics => error in dal => Error: connect ECONNREFUSED 127.0.0.1:3306"
following error occured at Fri Mar 09 2018 04:34:41 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 04:35:02 GMT+0200 (Jerusalem Standard Time) : {"code":"ECONNREFUSED","errno":"ECONNREFUSED","syscall":"connect","address":"127.0.0.1","port":3306,"fatal":true}
following error occured at Fri Mar 09 2018 04:35:02 GMT+0200 (Jerusalem Standard Time) : "called by loginAPI.login => called by loginController.login => called by loginBL.login => error in dal => Error: connect ECONNREFUSED 127.0.0.1:3306"
following error occured at Fri Mar 09 2018 04:35:16 GMT+0200 (Jerusalem Standard Time) : {"code":"ECONNREFUSED","errno":"ECONNREFUSED","syscall":"connect","address":"127.0.0.1","port":3306,"fatal":true}
following error occured at Fri Mar 09 2018 04:35:16 GMT+0200 (Jerusalem Standard Time) : "called by loginAPI.login => called by loginController.login => called by loginBL.login => error in dal => Error: connect ECONNREFUSED 127.0.0.1:3306"
following error occured at Fri Mar 09 2018 04:35:28 GMT+0200 (Jerusalem Standard Time) : {"code":"ECONNREFUSED","errno":"ECONNREFUSED","syscall":"connect","address":"127.0.0.1","port":3306,"fatal":true}
following error occured at Fri Mar 09 2018 04:35:28 GMT+0200 (Jerusalem Standard Time) : "called by customerAPI.getDuplicateCustomer => called by customerController.getDuplicateCustomer => called by customerBL.getDuplicateCustomer => error in dal => Error: connect ECONNREFUSED 127.0.0.1:3306"
following error occured at Fri Mar 09 2018 04:40:34 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 04:40:53 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 04:40:58 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 04:41:18 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 04:54:24 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 04:56:50 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 04:58:57 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 05:02:03 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 05:02:37 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 05:03:24 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 05:04:15 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 05:08:35 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 05:12:12 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 05:13:10 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 05:24:03 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
following error occured at Fri Mar 09 2018 05:24:06 GMT+0200 (Jerusalem Standard Time) : "called by storeAPI.getStatistics => called by storeController.getStatistics => unable to retrive statistics - please contact support center"
